Fecha,Unnamed: 1,PLANTAS_Total,CCII_Total,AASS_Total,YACIM._Total,TRANSPORTE_Total,DISTIBUCIÓN_Total
2025-01-01,,399.045336,324.98867600000005,142.305671,4.123377,0.444074,0.371875
2025-01-02,,637.0280420000001,372.557667,145.024735,4.11755,0.438684,0.409412
2025-01-03,,502.32233700000006,312.419045,143.207004,4.125931,0.515136,0.439966
2025-01-04,,414.274824,321.20315700000003,142.957007,4.087781,0.569579,0.358021
2025-01-05,,321.463257,328.633681,143.830129,4.096049,0.53236,0.340928
2025-01-06,,302.42774000000003,328.026809,111.473676,4.07686,0.455202,0.334601
2025-01-07,,524.932273,323.49846,103.344455,4.027971,0.475858,0.423885
2025-01-08,,553.4669660000001,323.103882,107.523811,3.749762,0.505558,0.397041
2025-01-09,,515.9018030000001,321.493576,104.622054,3.420525,0.522484,0.437122
2025-01-10,,509.23505,340.01127699999995,105.097771,3.354197,0.525562,0.399115
2025-01-11,,352.316013,312.173859,84.199054,4.169863,0.506503,0.413816
2025-01-12,,456.849681,306.518833,96.56695,4.48331,0.459296,0.379446
2025-01-13,,670.3050850000001,326.671868,117.865712,3.365817,0.37261,0.448837
2025-01-14,,910.54892,345.107745,125.963581,1.716182,0.422017,0.350719
2025-01-15,,910.861956,341.01344700000004,134.793131,3.000762,0.4549,0.391142
2025-01-16,,883.4251240000001,327.932939,137.300099,3.425418,0.509409,0.429789
2025-01-17,,873.2700000000001,335.66371300000003,137.442956,3.67,0.519679,0.456013
2025-01-18,,680.190664,341.49314000000004,126.224931,3.658593,0.512529,0.423403
2025-01-19,,660.4300000000001,290.63178600000003,124.384517,3.652938,0.463064,0.406812
2025-01-20,,996.33,312.960301,134.198135,3.689976,0.465707,0.396015
2025-01-21,,1018.09,189.743915,136.892744,3.617626,0.47089,0.416989
2025-01-22,,831.42,177.39230300000003,135.446039,3.577374,0.47304,0.460133
2025-01-23,,693.1000000000001,227.038652,135.283218,3.568886,0.478323,0.405184
2025-01-24,,535.9499999999999,198.374064,126.945588,3.59275,0.516678,0.469814
2025-01-25,,431.62,215.723906,74.610034,3.557311,0.507164,0.417307
2025-01-26,,497.54,173.53965699999998,92.645664,3.493372,0.423563,0.367954
2025-01-27,,494.93,203.498486,80.37434,3.559594,0.43579,0.522366
2025-01-28,,528.4599999999999,217.09133000000003,93.258183,3.452251,0.477416,0.416382
2025-01-29,,538.63,267.819552,114.392979,3.27989,0.468378,0.373433
2025-01-30,,558.46,342.171672,123.814337,3.368589,0.478542,0.244338
2025-01-31,,701.3499999999999,264.067282,123.352784,3.447871,0.490129,0.370172
2025-02-01,,553.82,269.700082,123.460292,3.336498,0.536759,0.412509
2025-02-02,,501.48,313.032358,123.505875,3.129148,0.49711,0.380811
2025-02-03,,813.5899999999999,269.095789,124.056944,2.994524,0.407914,0.410796
2025-02-04,,875.63,293.184598,124.441681,2.851829,0.548654,0.427315
2025-02-05,,806.2299999999999,197.697765,125.503649,2.858494,0.540172,0.381498
2025-02-06,,842.4200000000001,240.607517,125.996196,2.805067,0.555762,0.473025
2025-02-07,,798.4499999999999,184.689655,124.779421,2.826851,0.560303,0.485032
2025-02-08,,569.5099999999999,211.273194,123.634473,2.781339,0.58652,0.450817
2025-02-09,,606.72,245.20099700000003,123.541506,2.726625,0.554196,0.399289
2025-02-10,,773.679999,246.197858,103.534514,2.727625,0.559834,0.512111
2025-02-11,,771.561557,158.07761800000003,104.199323,1.919334,0.516902,0.431113
2025-02-12,,759.176249,147.076276,104.042694,1.412187,0.535693,0.390818
2025-02-13,,796.865907,166.90671899999998,104.208678,2.640723,0.556306,0.454314
2025-02-14,,743.742292,132.962921,104.050239,0.312928,0.576661,0.462652
2025-02-15,,543.4218820000001,150.96454500000002,89.793892,2.01299,0.620294,0.402077
2025-02-16,,514.292264,205.096414,88.53446,3.042654,0.597679,0.397449
2025-02-17,,673.773427,242.12216,118.651438,2.859972,0.555131,0.485744
2025-02-18,,658.1861620000001,165.18030300000004,105.723747,2.841704,0.611579,0.433979
2025-02-19,,677.056599,224.401292,102.348454,2.653933,0.557512,0.3742
2025-02-20,,586.72281,191.46249,100.350012,2.52543,0.632438,0.443585
2025-02-21,,562.655686,211.884861,47.868318,2.444453,0.633684,0.46481
2025-02-22,,468.27625300000005,235.466247,25.070157,2.440513,0.663004,0.41423
2025-02-23,,493.147921,263.083214,24.256234,2.370677,0.565879,0.419841
2025-02-24,,575.641741,274.557343,25.213903,2.168175,0.56866,0.505794
2025-02-25,,599.0129320000001,282.971913,41.425091,2.180908,0.589888,0.358694
2025-02-26,,740.0040109999999,297.526582,46.217252,2.278505,0.581132,0.436793
2025-02-27,,717.54656,294.406654,45.715562,2.22979,0.556134,0.429385
2025-02-28,,597.850439,308.110006,46.856228,2.166902,0.571947,0.426933
2025-03-01,,466.815013,298.95251900000005,16.196725,2.154211,0.458478,0.373563
2025-03-02,,522.3465,301.02441100000004,2.024238,2.106035,0.487549,0.387895
2025-03-03,,727.9892599999998,327.270576,39.306113,2.090691,0.557945,0.500064
2025-03-04,,568.798462,317.280932,69.567852,2.089306,0.59902,0.384754
2025-03-05,,503.78471900000005,316.125498,95.099393,2.070433,0.600994,0.403964
2025-03-06,,532.5366150000001,296.27583,113.401049,2.018447,0.619871,0.462011
2025-03-07,,478.76705,279.864552,116.462373,2.079588,0.610693,0.375579
2025-03-08,,387.403049,239.883739,99.064584,2.055638,0.610467,0.345949
2025-03-09,,398.907217,287.091638,111.857405,0.174635,0.531046,0.423096
2025-03-10,,552.124677,295.199728,123.018702,0.000267,0.504652,0.51544
2025-03-11,,599.4549020000001,295.34855500000003,121.783849,0.0,0.536841,0.449469
2025-03-12,,611.976783,293.981537,119.729487,0.0,0.571351,0.462682
2025-03-13,,671.706141,276.13005100000004,119.564184,2.149064,0.599695,0.496015
2025-03-14,,690.350872,260.150107,55.541048,2.639424,0.616443,0.469369
2025-03-15,,579.3360250000001,260.082458,41.127695,2.482658,0.544813,0.394571
2025-03-16,,613.698608,247.906967,41.346375,2.265671,0.413417,0.370481
2025-03-17,,789.3806740000001,241.07007100000004,49.421559,2.396134,0.51829,0.515382
2025-03-18,,709.372523,240.41470400000003,35.833387,2.378557,0.584516,0.493138
2025-03-19,,695.160773,158.05639200000002,23.41811,2.398236,0.578605,0.472775
2025-03-20,,573.0143830000001,134.88699800000003,15.687275,2.342142,0.583999,0.464401
2025-03-21,,643.4754790000001,150.320925,1.786316,2.298429,0.590978,0.471617
2025-03-22,,619.6,164.72508000000002,0.0,2.263332,0.487046,0.383861
2025-03-23,,639.706423,158.55324599999997,0.0,2.191807,0.438054,0.380736
2025-03-24,,700.7186280000001,241.018911,-3.381787,1.900231,0.455483,0.566774
2025-03-25,,716.895492,257.2741,-37.329526,0.243681,0.53808,0.483677
2025-03-26,,727.2509640000001,214.383244,-83.66073200000001,0.233881,0.554416,0.554026
2025-03-27,,811.7896509999999,166.313953,-105.133935,1.526792,0.523074,0.588984
